tradingSymbol,ltp,open,high,low,close,exchFeedTime,tradeVolume,opnInterest,totBuyQuan,totSellQuan
NIFTY19MAY2623200CE,431.05,440.95,455.85,429.25,380.7,14-May-2026 09:15:36,46930,294905,213395,52650
NIFTY19MAY2623650CE,151.65,154.2,167.35,149.75,134.9,14-May-2026 09:15:36,362960,1010490,2700750,98930
NIFTY19MAY2623250CE,390.0,384.65,414.5,359.4,346.65,14-May-2026 09:15:37,36140,131365,150800,36985
NIFTY19MAY2623700CE,131.15,150.0,150.0,126.5,116.4,14-May-2026 09:15:36,501345,2471170,2663245,218660
NIFTY19MAY2623200PE,79.95,89.0,89.0,67.65,120.95,14-May-2026 09:15:37,598065,2718170,2656225,134290
NIFTY19MAY2623650PE,251.0,271.85,271.85,226.7,322.85,14-May-2026 09:15:36,177385,518895,2463955,45890
NIFTY19MAY2623300CE,353.85,359.6,377.9,339.2,313.2,14-May-2026 09:15:36,132080,956020,278590,65715
NIFTY19MAY2623250PE,91.95,124.0,124.0,78.05,136.65,14-May-2026 09:15:36,295555,1039415,2714530,129350
NIFTY19MAY2623700PE,279.9,277.25,321.85,256.0,353.6,14-May-2026 09:15:36,173420,1392495,2671370,45500
NIFTY19MAY2623300PE,104.8,105.0,123.95,89.4,153.65,14-May-2026 09:15:36,557310,3507530,2730975,173550
NIFTY19MAY2623750PE,313.95,301.35,313.95,286.7,388.35,14-May-2026 09:15:37,50505,284245,153270,33410
NIFTY19MAY2623750CE,112.55,99.5,126.2,99.5,100.4,14-May-2026 09:15:37,361595,885755,2720380,89375
NIFTY19MAY2623800PE,345.4,373.65,373.65,317.75,423.8,14-May-2026 09:15:37,61685,794040,165295,36075
NIFTY19MAY2623800CE,96.0,100.0,107.95,91.95,86.15,14-May-2026 09:15:37,501995,3707665,2536560,257855
NIFTY19MAY2623850PE,380.75,370.0,375.05,347.05,464.3,14-May-2026 09:15:36,7865,116155,140400,30810
NIFTY19MAY2623850CE,82.05,85.2,93.25,80.1,74.15,14-May-2026 09:15:36,319865,842920,2682095,101465
NIFTY19MAY2623900PE,416.7,398.8,414.65,388.85,498.95,14-May-2026 09:15:36,31720,646945,148395,38090
NIFTY19MAY2623900CE,69.3,62.65,78.9,60.85,62.65,14-May-2026 09:15:36,412425,4464395,3049085,197925
NIFTY19MAY2623950CE,59.1,59.85,67.15,56.1,53.6,14-May-2026 09:15:36,257855,905710,2691260,111800
NIFTY19MAY2624000CE,49.65,43.45,56.25,43.45,45.3,14-May-2026 09:15:36,758160,6404970,3563170,520455
NIFTY19MAY2623950PE,452.2,435.65,452.2,434.95,543.25,14-May-2026 09:15:36,4550,115830,84565,24440
NIFTY19MAY2624050CE,41.8,36.6,47.9,36.6,38.4,14-May-2026 09:15:36,227240,784095,1769235,109135
NIFTY19MAY2624000PE,498.6,527.95,527.95,467.0,581.3,14-May-2026 09:15:36,26000,1522430,163865,27430
NIFTY19MAY2624100CE,35.05,32.0,40.55,32.0,32.55,14-May-2026 09:15:36,393120,2557815,3046160,140335
NIFTY19MAY2624050PE,625.15,0.0,0.0,0.0,658.05,14-May-2026 09:15:37,0,30615,66235,12350
NIFTY19MAY2624100PE,581.0,568.0,581.0,555.1,668.9,14-May-2026 09:15:36,2795,371670,131170,18850
NIFTY19MAY2623350CE,319.15,350.0,350.0,300.2,282.2,14-May-2026 09:15:36,111020,385385,161525,56485
NIFTY19MAY2623400CE,287.65,299.9,309.4,273.65,252.8,14-May-2026 09:15:37,383110,2237950,392210,144300
NIFTY19MAY2623350PE,120.0,135.0,135.0,103.1,172.45,14-May-2026 09:15:36,342745,1390090,2439255,127790
